Observer Code,Number of Observations,Offset
HMB,213,0.0
RFDA,150,-0.6984656437625083
PEX,75,0.8612408272181453
LBEC,40,0.6797865243495662
CCT,32,0.7971981320880586
NLX,28,0.7611741160773848
YBA,13,0.7531687791861239
