JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460355.297037,8.7874,0.0678,,TB,BDJB,,ENSEMBLE,000-BPV-379,X35899K,CANON 1100D; 100MM; ISO 100; F2.0; 10 SEC X 16 IMAGES MEDIAN STACKED IN GROUPS OF 4,0,1.340,Z,,-11.5237,,N SCO 2024,ASSAU,STD,,,,
2460355.297037,8.0957,0.0112,,TG,BDJB,,ENSEMBLE,000-BPV-379,X35899K,CANON 1100D; 100MM; ISO 100; F2.0; 10 SEC X 16 IMAGES MEDIAN STACKED IN GROUPS OF 4,0,1.340,Z,,-11.6386,,N SCO 2024,ASSAU,STD,,,,
2460355.297037,7.1578,0.0539,,TR,BDJB,,ENSEMBLE,000-BPV-379,X35899K,CANON 1100D; 100MM; ISO 100; F2.0; 10 SEC X 16 IMAGES MEDIAN STACKED IN GROUPS OF 4,0,1.340,Z,,-10.4663,,N SCO 2024,ASSAU,STD,,,,
2460355.33056,8.1,,,Vis.,PEX,,78,83,X35870BMI,,,,Z,,,,V1723 SCO,AAVSO,STD,,,,
2460355.63071,6.717,0.017,,R,KMWA,,ENSEMBLE,115,X35942Z,|KMAGINS=-8.587|KMAGSTD=11.174|KREFMAG=10.996|TR_VR=-0.085|VMAGINS=-12.961,1,1.650,Z,,11.174,,V1723 SCO,BAV,STD,,,,
2460355.63299,7.956,0.033,,V,KMWA,,ENSEMBLE,115,X35942Z,|KDEC=-38.15535|KMAGINS=-8.701|KMAGSTD=11.506|KRA=261.52754|KREFERR=0.021|KREFMAG=11.521|VMAGINS=-12.270,1,1.650,Z,,11.506,,V1723 SCO,BAV,STD,,,,
2460355.63502,9.139,0.07,,B,KMWA,,ENSEMBLE,000-BPV-382,X35946DP,,0,1.32,Z,,9.067,,V1723 SCO,BAV,STD,,,,
2460355.80486,8.0,,,Vis.,AAX,K,76,84,X35895BD,TYC red comps,,,Z,,,,V1723 Sco,NEOA-JBS,STD,,,,
2460355.84677,8.224,0.043,,V,LBEC,,ENSEMBLE,,X35918AH,W88 SLOOH.COM CHILE OBSERVATORY; 0.43-M F/6.8 CORRECTED DALL-KIRKHAM|VMAGINS=-11.375,0,1.565,Z,,,,V1723 SCO,AAVSO,STD,,,,
2460355.84744,7.036,0.128,,R,LBEC,,ENSEMBLE,,X35918AH,W88 SLOOH.COM CHILE OBSERVATORY; 0.43-M F/6.8 CORRECTED DALL-KIRKHAM|VMAGINS=-12.339,0,1.559,Z,,,,V1723 SCO,AAVSO,STD,,,,
2460355.84788,5.803,0.253,,I,LBEC,,ENSEMBLE,,X35918AH,W88 SLOOH.COM CHILE OBSERVATORY; 0.43-M F/6.8 CORRECTED DALL-KIRKHAM|VMAGINS=-12.481,0,1.555,Z,,,,V1723 SCO,AAVSO,STD,,,,
