JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460360.896817,10.032,0.008,,V,HMB,,UCAC4 260-120584,UCAC4 260-120853,,|VMAGINS=17.977|CMAGINS=17.368|CREFMAG= 9.424|CREFERR= 0.007|KMAGINS=16.594|KREFMAG= 9.116|KREFERR= 0.006,0,1.226,Z,17.368,16.594,,PNV J17261813-3809354,VVS,STD,,,,
2460360.896968,11.380,0.005,,B,HMB,,UCAC4 260-120584,UCAC4 260-120853,,|VMAGINS=17.483|CMAGINS=16.232|CREFMAG=10.129|CREFERR= 0.003|KMAGINS=15.634|KREFMAG=10.052|KREFERR= 0.003,0,1.225,Z,16.232,15.634,,PNV J17261813-3809354,VVS,STD,,,,
2460360.897130,11.393,0.005,,B,HMB,,UCAC4 260-120584,UCAC4 260-120853,,|VMAGINS=17.471|CMAGINS=16.207|CREFMAG=10.129|CREFERR= 0.003|KMAGINS=15.613|KREFMAG=10.052|KREFERR= 0.003,0,1.224,Z,16.207,15.613,,PNV J17261813-3809354,VVS,STD,,,,
2460360.897280,7.495,0.006,,R,HMB,,UCAC4 260-120584,UCAC4 260-120853,,|VMAGINS=16.581|CMAGINS=17.435|CREFMAG= 8.349|CREFERR= 0.007|KMAGINS=16.517|KREFMAG= 7.750|KREFERR= 0.006,0,1.224,Z,17.435,16.517,,PNV J17261813-3809354,VVS,STD,,,,
2460360.897361,7.484,0.006,,R,HMB,,UCAC4 260-120584,UCAC4 260-120853,,|VMAGINS=16.555|CMAGINS=17.420|CREFMAG= 8.349|CREFERR= 0.007|KMAGINS=16.520|KREFMAG= 7.750|KREFERR= 0.006,0,1.223,Z,17.420,16.520,,PNV J17261813-3809354,VVS,STD,,,,
2460360.95833,8.9,,,Vis.,SLH,,88,94,x35895bd,,,,Z,,,,v1723 sco,AAVSO,STD,,,,
2460361.28826,10.472,0.003,,B,PEX,,000-BPV-402,000-BPV-401,X35907J,|CDEC=-38.15503|CMAGINS=-8.413|CRA=261.52763|CREFERR=0.104|CREFMAG=12.104|CX=1.8581|KDEC=-38.10998|KMAGINS=-7.893|KMAGSTD=12.624|KMAGTRAN=12.619|KRA=261.55703|KREFERR=0.099|KREFMAG=12.652|KX=1.8599|OBSERVAT=PERTH OBSERVATORY|TAVER=2.60|TB_BV=0.0590|TB_BVERR=0.0330|VERR=0.003|VMAGINS=-10.077|VMAGSTD=10.440|VX=1.8598,1,1.851,Z,-8.413,-7.893,,V1723 SCO,AAVSO,STD,0101,,,
2460361.28867,9.347,0.001,,V,PEX,,000-BPV-402,000-BPV-401,X35907J,|CDEC=-38.15503|CMAGINS=-9.425|CRA=261.52763|CREFERR=0.021|CREFMAG=11.521|CX=1.8525|KDEC=-38.10998|KMAGINS=-8.823|KMAGSTD=12.123|KMAGTRAN=12.125|KRA=261.55703|KREFERR=0.044|KREFMAG=12.141|KX=1.8543|OBSERVAT=PERTH OBSERVATORY|TAVER=2.60|TV_BV=-0.0250|TV_BVERR=0.0210|VERR=0.001|VMAGINS=-11.585|VMAGSTD=9.361|VX=1.8542,1,1.844,Z,-9.425,-8.823,,V1723 SCO,AAVSO,STD,0101,,,
2460361.28905,7.478,0.001,,R,PEX,,000-BPV-402,000-BPV-401,X35907J,|CDEC=-38.15503|CMAGINS=-9.524|CRA=261.52763|CREFERR=0.222|CREFMAG=10.996|CX=1.8473|KDEC=-38.10998|KMAGINS=-8.857|KMAGSTD=11.663|KMAGTRAN=11.659|KRA=261.55703|KREFERR=0.219|KREFMAG=11.677|KX=1.8491|OBSERVAT=PERTH OBSERVATORY|TAVER=2.60|TR_VI=0.0250|TR_VIERR=0.0840|VERR=0.001|VMAGINS=-13.091|VMAGSTD=7.429|VX=1.8490,1,1.839,Z,-9.524,-8.857,,V1723 SCO,AAVSO,STD,0101,,,
2460361.28944,6.353,0.001,,I,PEX,,000-BPV-402,000-BPV-401,X35907J,|CDEC=-38.15503|CMAGINS=-8.181|CRA=261.52763|CREFERR=0.301|CREFMAG=10.506|CX=1.8421|KDEC=-38.10998|KMAGINS=-7.400|KMAGSTD=11.287|KMAGTRAN=11.290|KRA=261.55703|KREFERR=0.295|KREFMAG=11.243|KX=1.8438|OBSERVAT=PERTH OBSERVATORY|TAVER=2.60|TI_VI=-0.0140|TI_VIERR=0.0310|VERR=0.001|VMAGINS=-12.306|VMAGSTD=6.381|VX=1.8438,1,1.834,Z,-8.181,-7.400,,V1723 SCO,AAVSO,STD,0101,,,
2460361.29311,10.435,0.007,,B,YBA,,121,115,X35973FN,|OBSERVAT=PERTH OBSERVATORY|CDEC=-38.10976|CMAGINS=-7.658|CRA=261.55666|CREFERR=0.099|CREFMAG=12.652|KDEC=-38.15485|KMAGINS=-8.226|KMAGSTD=12.085|KRA=261.52723|KREFERR=0.104|KREFMAG=12.104|VMAGINS=-9.875,0,1.788,Z,-7.658,-8.226,,V1723 SCO,AAVSO,STD,,,,
2460361.29360,9.338,0.007,,V,YBA,,121,115,X35973FO,|OBSERVAT=PERTH OBSERVATORY|CDEC=-38.10983|CMAGINS=-8.484|CRA=261.5564|CREFERR=0.044|CREFMAG=12.141|KDEC=-38.15498|KMAGINS=-9.139|KMAGSTD=11.486|KRA=261.52716|KREFERR=0.021|KREFMAG=11.521|VMAGINS=-11.287,0,1.781,Z,-8.484,-9.139,,V1723 SCO,AAVSO,STD,,,,
2460361.29398,7.884,0.004,,R,YBA,,111A,115A_1,240222,|OBSERVAT=PERTH OBSERVATORY|CDEC=-38.21743|CMAGINS=-9.836|CRA=261.62659|CREFERR=0.165|CREFMAG=10.482|KDEC=-38.19731|KMAGINS=-9.278|KMAGSTD=11.040|KRA=261.58204|KREFERR=0.241|KREFMAG=10.901|VMAGINS=-12.434,0,1.776,Z,-9.836,-9.278,,V1723 SCO,AAVSO,STD,,,,
2460361.34353,8.499,0.001,,V,PEX,,000-BPV-382,000-BPV-383,X35898HU,|CDEC=-38.06000|CMAGINS=-10.762|CRA=261.84145|CREFERR=0.032|CREFMAG=7.899|CX=1.3556|KDEC=-38.07337|KMAGINS=-10.229|KMAGSTD=8.432|KMAGTRAN=8.433|KRA=262.02354|KREFERR=0.034|KREFMAG=8.631|KX=1.3586|TAVER=2.60|TV_BV=0.0160|TV_BVERR=0.0090|VERR=0.001|VMAGINS=-10.174|VMAGSTD=8.487|VX=1.3509,1,1.350,Z,-10.762,-10.229,,V1723 SCO,AAVSO,STD,0101,,,
2460361.34353,9.930,0.002,,B,PEX,,000-BPV-382,000-BPV-383,X35898HU,|CDEC=-38.06000|CMAGINS=-10.394|CRA=261.84145|CREFERR=0.049|CREFMAG=8.597|CX=1.3556|KDEC=-38.07337|KMAGINS=-9.838|KMAGSTD=9.153|KMAGTRAN=9.172|KRA=262.02354|KREFERR=0.052|KREFMAG=9.136|KX=1.3586|TAVER=2.60|TB_BV=0.4650|TB_BVERR=0.0100|VERR=0.002|VMAGINS=-9.402|VMAGSTD=9.589|VX=1.3509,1,1.350,Z,-10.394,-9.838,,V1723 SCO,AAVSO,STD,0101,,,
2460361.34353,7.412,0.001,,TR,PEX,,79,86,X35898HU,|CDEC=-38.06000|CMAGINS=-10.551|CRA=261.84145|CREFERR=0.050|CREFMAG=7.508|KDEC=-38.07337|KMAGINS=-9.873|KMAGSTD=8.186|KRA=262.02354|KREFERR=0.050|KREFMAG=8.344|VMAGINS=-10.647,0,1.351,Z,-10.551,-9.873,,V1723 SCO,AAVSO,STD,0,,,
2460361.34456,8.522,0.001,,V,PEX,,000-BPV-382,000-BPV-383,X35898HU,|CDEC=-38.06000|CMAGINS=-10.780|CRA=261.84145|CREFERR=0.032|CREFMAG=7.899|CX=1.3494|KDEC=-38.07337|KMAGINS=-10.210|KMAGSTD=8.469|KMAGTRAN=8.469|KRA=262.02354|KREFERR=0.034|KREFMAG=8.631|KX=1.3524|TAVER=2.60|TV_BV=0.0160|TV_BVERR=0.0090|VERR=0.001|VMAGINS=-10.167|VMAGSTD=8.512|VX=1.3447,1,1.344,Z,-10.780,-10.210,,V1723 SCO,AAVSO,STD,0102,,,
2460361.34456,9.870,0.002,,B,PEX,,000-BPV-382,000-BPV-383,X35898HU,|CDEC=-38.06000|CMAGINS=-10.380|CRA=261.84145|CREFERR=0.049|CREFMAG=8.597|CX=1.3494|KDEC=-38.07337|KMAGINS=-9.827|KMAGSTD=9.150|KMAGTRAN=9.136|KRA=262.02354|KREFERR=0.052|KREFMAG=9.136|KX=1.3524|TAVER=2.60|TB_BV=0.4650|TB_BVERR=0.0100|VERR=0.002|VMAGINS=-9.409|VMAGSTD=9.568|VX=1.3447,1,1.344,Z,-10.380,-9.827,,V1723 SCO,AAVSO,STD,0102,,,
2460361.34456,7.389,0.001,,TR,PEX,,79,86,X35898HU,|CDEC=-38.06000|CMAGINS=-10.567|CRA=261.84145|CREFERR=0.050|CREFMAG=7.508|KDEC=-38.07337|KMAGINS=-9.884|KMAGSTD=8.191|KRA=262.02354|KREFERR=0.050|KREFMAG=8.344|VMAGINS=-10.686,0,1.351,Z,-10.567,-9.884,,V1723 SCO,AAVSO,STD,0,,,
2460361.34514,9.2,,,Vis.,PEX,,88,94,X35942PD,,,,Z,,,,V1723 SCO,AAVSO,STD,,,,
2460361.34547,8.525,0.001,,V,PEX,,000-BPV-382,000-BPV-383,X35898HU,|CDEC=-38.06000|CMAGINS=-10.770|CRA=261.84145|CREFERR=0.032|CREFMAG=7.899|CX=1.3440|KDEC=-38.07337|KMAGINS=-10.219|KMAGSTD=8.450|KMAGTRAN=8.452|KRA=262.02354|KREFERR=0.034|KREFMAG=8.631|KX=1.3469|TAVER=2.60|TV_BV=0.0160|TV_BVERR=0.0090|VERR=0.001|VMAGINS=-10.155|VMAGSTD=8.514|VX=1.3394,1,1.339,Z,-10.770,-10.219,,V1723 SCO,AAVSO,STD,0103,,,
2460361.34547,9.898,0.002,,B,PEX,,000-BPV-382,000-BPV-383,X35898HU,|CDEC=-38.06000|CMAGINS=-10.424|CRA=261.84145|CREFERR=0.049|CREFMAG=8.597|CX=1.3440|KDEC=-38.07337|KMAGINS=-9.814|KMAGSTD=9.207|KMAGTRAN=9.257|KRA=262.02354|KREFERR=0.052|KREFMAG=9.136|KX=1.3469|TAVER=2.60|TB_BV=0.4650|TB_BVERR=0.0100|VERR=0.002|VMAGINS=-9.437|VMAGSTD=9.584|VX=1.3394,1,1.339,Z,-10.424,-9.814,,V1723 SCO,AAVSO,STD,0103,,,
2460361.34547,7.409,0.001,,TR,PEX,,79,86,X35898HU,|CDEC=-38.06000|CMAGINS=-10.544|CRA=261.84145|CREFERR=0.050|CREFMAG=7.508|KDEC=-38.07337|KMAGINS=-9.896|KMAGSTD=8.156|KRA=262.02354|KREFERR=0.050|KREFMAG=8.344|VMAGINS=-10.643,0,1.351,Z,-10.544,-9.896,,V1723 SCO,AAVSO,STD,0,,,
2460361.34637,8.519,0.001,,V,PEX,,000-BPV-382,000-BPV-383,X35898HU,|CDEC=-38.06000|CMAGINS=-10.739|CRA=261.84145|CREFERR=0.032|CREFMAG=7.899|CX=1.3387|KDEC=-38.07337|KMAGINS=-10.188|KMAGSTD=8.450|KMAGTRAN=8.452|KRA=262.02354|KREFERR=0.034|KREFMAG=8.631|KX=1.3416|TAVER=2.60|TV_BV=0.0160|TV_BVERR=0.0090|VERR=0.001|VMAGINS=-10.130|VMAGSTD=8.508|VX=1.3341,1,1.334,Z,-10.739,-10.188,,V1723 SCO,AAVSO,STD,0104,,,
2460361.34637,9.929,0.002,,B,PEX,,000-BPV-382,000-BPV-383,X35898HU,|CDEC=-38.06000|CMAGINS=-10.426|CRA=261.84145|CREFERR=0.049|CREFMAG=8.597|CX=1.3387|KDEC=-38.07337|KMAGINS=-9.813|KMAGSTD=9.210|KMAGTRAN=9.262|KRA=262.02354|KREFERR=0.052|KREFMAG=9.136|KX=1.3416|TAVER=2.60|TB_BV=0.4650|TB_BVERR=0.0100|VERR=0.002|VMAGINS=-9.425|VMAGSTD=9.598|VX=1.3341,1,1.334,Z,-10.426,-9.813,,V1723 SCO,AAVSO,STD,0104,,,
2460361.34637,7.403,0.001,,TR,PEX,,79,86,X35898HU,|CDEC=-38.06000|CMAGINS=-10.518|CRA=261.84145|CREFERR=0.050|CREFMAG=7.508|KDEC=-38.07337|KMAGINS=-9.890|KMAGSTD=8.136|KRA=262.02354|KREFERR=0.050|KREFMAG=8.344|VMAGINS=-10.623,0,1.351,Z,-10.518,-9.890,,V1723 SCO,AAVSO,STD,0,,,
2460361.34733,8.569,0.001,,V,PEX,,000-BPV-382,000-BPV-383,X35898HU,|CDEC=-38.06000|CMAGINS=-10.830|CRA=261.84145|CREFERR=0.032|CREFMAG=7.899|CX=1.3331|KDEC=-38.07337|KMAGINS=-10.228|KMAGSTD=8.501|KMAGTRAN=8.503|KRA=262.02354|KREFERR=0.034|KREFMAG=8.631|KX=1.3360|TAVER=2.60|TV_BV=0.0160|TV_BVERR=0.0090|VERR=0.001|VMAGINS=-10.171|VMAGSTD=8.558|VX=1.3286,1,1.328,Z,-10.830,-10.228,,V1723 SCO,AAVSO,STD,0105,,,
2460361.34733,9.971,0.002,,B,PEX,,000-BPV-382,000-BPV-383,X35898HU,|CDEC=-38.06000|CMAGINS=-10.483|CRA=261.84145|CREFERR=0.049|CREFMAG=8.597|CX=1.3331|KDEC=-38.07337|KMAGINS=-9.810|KMAGSTD=9.270|KMAGTRAN=9.330|KRA=262.02354|KREFERR=0.052|KREFMAG=9.136|KX=1.3360|TAVER=2.60|TB_BV=0.4650|TB_BVERR=0.0100|VERR=0.002|VMAGINS=-9.436|VMAGSTD=9.644|VX=1.3286,1,1.328,Z,-10.483,-9.810,,V1723 SCO,AAVSO,STD,0105,,,
2460361.34733,7.436,0.001,,TR,PEX,,79,86,X35898HU,|CDEC=-38.06000|CMAGINS=-10.602|CRA=261.84145|CREFERR=0.050|CREFMAG=7.508|KDEC=-38.07337|KMAGINS=-9.879|KMAGSTD=8.232|KRA=262.02354|KREFERR=0.050|KREFMAG=8.344|VMAGINS=-10.674,0,1.351,Z,-10.602,-9.879,,V1723 SCO,AAVSO,STD,0,,,
2460361.34840,8.542,0.001,,V,PEX,,000-BPV-382,000-BPV-383,X35898HU,|CDEC=-38.06000|CMAGINS=-10.809|CRA=261.84145|CREFERR=0.032|CREFMAG=7.899|CX=1.3270|KDEC=-38.07337|KMAGINS=-10.215|KMAGSTD=8.493|KMAGTRAN=8.493|KRA=262.02354|KREFERR=0.034|KREFMAG=8.631|KX=1.3298|TAVER=2.60|TV_BV=0.0160|TV_BVERR=0.0090|VERR=0.001|VMAGINS=-10.178|VMAGSTD=8.530|VX=1.3226,1,1.322,Z,-10.809,-10.215,,V1723 SCO,AAVSO,STD,0106,,,
2460361.34840,9.993,0.002,,B,PEX,,000-BPV-382,000-BPV-383,X35898HU,|CDEC=-38.06000|CMAGINS=-10.400|CRA=261.84145|CREFERR=0.049|CREFMAG=8.597|CX=1.3270|KDEC=-38.07337|KMAGINS=-9.803|KMAGSTD=9.194|KMAGTRAN=9.196|KRA=262.02354|KREFERR=0.052|KREFMAG=9.136|KX=1.3298|TAVER=2.60|TB_BV=0.4650|TB_BVERR=0.0100|VERR=0.002|VMAGINS=-9.354|VMAGSTD=9.643|VX=1.3226,1,1.322,Z,-10.400,-9.803,,V1723 SCO,AAVSO,STD,0106,,,
2460361.34840,7.473,0.001,,TR,PEX,,79,86,X35898HU,|CDEC=-38.06000|CMAGINS=-10.646|CRA=261.84145|CREFERR=0.050|CREFMAG=7.508|KDEC=-38.07337|KMAGINS=-9.894|KMAGSTD=8.260|KRA=262.02354|KREFERR=0.050|KREFMAG=8.344|VMAGINS=-10.681,0,1.351,Z,-10.646,-9.894,,V1723 SCO,AAVSO,STD,0,,,
2460361.359765,7.575,0.095,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.396,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.359765,8.642,0.066,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.396,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.359765,9.158,0.084,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.396,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.361273,7.628,0.11,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.369,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.361273,8.645,0.056,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.369,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.361273,9.222,0.2,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.369,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.362782,7.499,0.074,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.344,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.362782,8.675,0.087,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.344,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.362782,9.148,0.145,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.344,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.364522,7.607,0.074,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.315,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.364522,8.653,0.027,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.315,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.364522,9.2,0.142,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.315,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.36553,7.56,0.102,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.299,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.36553,8.696,0.01,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.299,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.36553,9.192,0.12,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.299,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.366889,7.519,0.064,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.278,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.366889,8.666,0.014,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.278,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.366889,9.158,0.114,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.278,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.368077,7.545,0.116,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.26,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.368077,8.672,0.055,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.26,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.368077,9.155,0.043,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.26,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.369135,7.538,0.08,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.245,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.369135,8.592,0.026,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.245,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.369135,9.16,0.101,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.245,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.370145,7.553,0.083,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.23,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.370145,8.592,0.042,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.23,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.370145,9.155,0.16,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.23,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.371735,7.609,0.183,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.208,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.371735,8.633,0.024,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.208,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.371735,9.17,0.057,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.208,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.3854,9.0,,,Vis.,BNK,YK,87,94,X35870BVF,,,,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460361.567101,6.801,0.317,,I,OMOA,,ENSEMBLE,,,,0,2.799,Z,,,,N SCO 2024,AAVSO,STD,,,,
2460361.570382,10.602,0.310,,B,OMOA,,ENSEMBLE,,,,0,2.740,Z,,,,N SCO 2024,AAVSO,STD,,,,
2460361.8438,9.2,,,Vis.,AAX,B,88,94,X35985BD,TWILIGHT,,,Z,,,,V1723 SCO,NEOA-JBS,STD,,,,
2460361.93681,9.1,,,Vis.,SLH,,88,94,x35895bd,,,,Z,,,,v1723 sco,AAVSO,STD,,,,
2460362.357055,7.644,0.096,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.395,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.357055,8.705,0.025,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.395,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.357055,9.229,0.071,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.395,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.358131,7.629,0.063,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.376,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.358131,8.73,0.026,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.376,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.358131,9.302,0.131,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.376,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.35957,7.636,0.086,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.352,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.35957,8.711,0.021,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.352,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.35957,9.203,0.075,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.352,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.360437,7.585,0.084,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.337,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.360437,8.772,0.035,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.337,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.360437,9.339,0.126,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.337,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.361303,7.676,0.087,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.323,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.361303,8.761,0.062,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.323,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.361303,9.31,0.119,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.323,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460362.36268,7.65,0.092,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR S50; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.301,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
